"Code","Nom","DCI","Marque","Categorie","Forme","Prix Vente","Prix Achat","Rx","Quantite"
"PN1492","Nifluril enf sup","","","Autre","Comprime","29000","0","Non","2"
"PN1493","T-Vagymycine ov","","","Autre","Comprime","75000","0","Non","2"
"PN1494","Orrimix ov","","","Autre","Comprime","58000","0","Non","2"
"PN1495","Alcool 70% 125ml","","","Autre","Comprime","32000","0","Non","1"
"PN1496","Alcool 70% 250 ml","","","Autre","Comprime","48000","0","Non","2"
"PN1497","Polyvax ov","","","Autre","Comprime","47000","0","Non","1"
"PN1498","Salvatis pdre","","","Autre","Comprime","30000","0","Non","3"
"PN1499","Eau oxygene sol","","","Autre","Comprime","28000","0","Non","4"
"PN1500","Lacta mousse","","","Autre","Comprime","89000","0","Non","2"
"PN1501","Cliptol gel","","","Autre","Comprime","106000","0","Non","2"
"PN1502","Burnox crem","","","Autre","Comprime","27000","0","Non","2"
"PN1503","Genskin orte crem","","","Autre","Comprime","55000","0","Non","2"
"PN1504","Fusimed crem","","","Autre","Comprime","72000","0","Non","2"
"PN1505","Siantaler pde","","","Autre","Comprime","22000","0","Non","2"
"PN1506","Ceftriax 1g boi","","","Autre","Comprime","69000","0","Non","6"
"PN0789","Mycoster spray","","","Autre","Comprime","0","0","Non","0"
"PN0790","Niflugel pde","","","Autre","Comprime","38000","0","Non","2"
"PN0791","Oxyplastine pde","","","Autre","Comprime","0","0","Non","0"
"PN0792","Phenergan pde","","","Autre","Comprime","35000","0","Non","1"
"PN0793","Positon pde","","","Autre","Comprime","52000","0","Non","1"
"PN0794","Positon cre","","","Autre","Comprime","50000","0","Non","1"
"PN0795","Procomil cre","","","Autre","Comprime","50000","0","Non","2"
"PN0796","PKG cre","","","Autre","Comprime","0","0","Non","0"
"PN0797","Pevagin cre","","","Autre","Comprime","47000","0","Non","2"
"PN0798","Titanoreine cre","","","Autre","Comprime","114000","0","Non","3"
"PN0799","Trecopex pde","","","Autre","Comprime","35000","0","Non","5"
"PN0800","Triafene gel","","","Autre","Comprime","17000","0","Non","3"
"PN0801","Vendome gel","","","Autre","Comprime","0","0","Non","0"
"PN0802","Volini gel","","","Autre","Comprime","0","0","Non","0"
"PN0803","Vovgel gel","","","Autre","Comprime","29000","0","Non","2"
"PN1507","Voltaren Emulgel","","","Autre","Comprime","36000","0","Non","3"
"PN0805","Vegebom secours 50g gel","","","Autre","Comprime","0","0","Non","0"
"PN0806","Vegebom secours 100g gel","","","Autre","Comprime","97000","0","Non","1"
"PN0807","Vegebom Tonifiant gel","","","Autre","Comprime","71000","0","Non","3"
"PN0808","Warimazol cre","","","Autre","Comprime","0","0","Non","0"
"PN0809","Sparadrap 5m*18cm","","","Autre","Comprime","12000","0","Non","2"
"PN0810","Bande crepe 4cm*5m","","","Autre","Comprime","0","0","Non","0"
"PN0811","Bande crepe 4cm*7m","","","Autre","Comprime","0","0","Non","0"
"PN0812","Bande crepe 4cm*10m","","","Autre","Comprime","0","0","Non","0"
"PN0813","Bande crepe 4cm*15m","","","Autre","Comprime","0","0","Non","0"
"PN0814","Bande crepe 4cm*20m","","","Autre","Comprime","0","0","Non","0"
"PN1508","Tretienex","","","Autre","Comprime","41000","0","Non","3"
"PN1509","Test Bande Pregnancy","","","Autre","Comprime","5000","0","Non","50"
"PN1510","Hemafer inj","","","Autre","Comprime","27700","0","Non","2"
"PN1511","Gynopen inj","","","Autre","Comprime","10000","0","Non","13"
"PN1512","Repral inj","","","Autre","Comprime","25000","0","Non","17"
"PN1513","gluconate de calcium","","","Autre","Comprime","12000","0","Non","6"
"PN1514","Lyocef plus","","","Autre","Comprime","38000","0","Non","11"
"PN1515","Tergynan ov B/10","","","Autre","Comprime","56000","0","Non","3"
"PN1516","Bande Nylex 10 cm x 4 m","","","Autre","Comprime","10000","0","Non","17"
"PN1517","Daktarin gel","","","Autre","Comprime","98000","0","Non","19"
"PN1518","Adna Bain de Bouche","","","Autre","Comprime","45000","0","Non","3"
"PN1519","Gumforte gel","","","Autre","Comprime","23000","0","Non","1"
"PN1520","Lofnac pde","","","Autre","Comprime","29000","0","Non","3"
"PN1521","Micocare gel","","","Autre","Comprime","31000","0","Non","1"
"PN1522","Mycoster","","","Autre","Comprime","0","0","Non","0"
"PN1523","Tess","","","Autre","Comprime","45000","0","Non","3"
"PN1524","Trizole gel","","","Autre","Comprime","47000","0","Non","1"
"PN1525","Venosmil pde","","","Autre","Comprime","47000","0","Non","1"
"PN1526","Tensoplast 6 cm","","","Autre","Comprime","0","0","Non","0"
"PN1527","Tensoplast 8 cm","","","Autre","Comprime","68000","0","Non","2"
"PN1528","Tensoplast 10 cm","","","Autre","Comprime","86000","0","Non","1"
"PN1529","Mixtard 30","","","Autre","Comprime","57000","0","Non","7"
"PN1530","Insulatard","","","Autre","Comprime","84000","0","Non","8"
"PN1531","Actrapid","","","Autre","Comprime","77000","0","Non","6"
"PN1532","Lacoma Cy","","","Autre","Comprime","0","0","Non","0"
"PN1533","Lacoma T","","","Autre","Comprime","197000","0","Non","2"
"PN1534","Oxytroy inj","","","Autre","Comprime","28000","0","Non","4"
"PN1535","Philco Cipro 100 B/10","","","Autre","Comprime","25000","0","Non","10"
"PN1536","Colpotrophine","","","Autre","Comprime","99000","0","Non","1"
"PN1537","Gluconate de ca+","","","Autre","Comprime","0","0","Non","0"
"PN1538","Naturex Vaporub","","","Autre","Comprime","41000","0","Non","1"
