"Code,""Nom"",""DCI"",""Marque"",""Categorie"",""Forme"",""Prix Vente"",""Prix Achat"",""Rx"",""Quantite"""
"PN1057,""Maxidrol cy"","""","""",""Autre"",""Comprime"",""32000"",""0"",""Non"",""6"""
"PN1058,""Maxidrol pde"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1059,""Marimer baby isotonique spray"","""","""",""Autre"",""Comprime"",""70000"",""0"",""Non"",""1"""
"PN1060,""Marimer baby hypertonique spray"","""","""",""Autre"",""Comprime"",""70000"",""0"",""Non"",""1"""
"PN1061,""Marimer isotonique spray"","""","""",""Autre"",""Comprime"",""70000"",""0"",""Non"",""1"""
"PN1062,""Marimer hypertonique spray"","""","""",""Autre"",""Comprime"",""70000"",""0"",""Non"",""2"""
"PN1063,""Gel larmes"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1064,""Genta cy"","""","""",""Autre"",""Comprime"",""23000"",""0"",""Non"",""11"""
"PN1065,""Gentasol cy"","""","""",""Autre"",""Comprime"",""20000"",""0"",""Non"",""12"""
"PN1066,""Gatistar cy"","""","""",""Autre"",""Comprime"",""61000"",""0"",""Non"",""1"""
"PN1067,""Ciloxan cy"","""","""",""Autre"",""Comprime"",""75000"",""0"",""Non"",""1"""
"PN1068,""Apdrops cy"","""","""",""Autre"",""Comprime"",""121000"",""0"",""Non"",""1"""
"PN1069,""Patadin cy"","""","""",""Autre"",""Comprime"",""63000"",""0"",""Non"",""3"""
"PN1070,""Frakidex cy"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1071,""Floxsol cy"","""","""",""Autre"",""Comprime"",""19000"",""0"",""Non"",""1"""
"PN1072,""Difenasol cy"","""","""",""Autre"",""Comprime"",""19000"",""0"",""Non"",""4"""
"PN1073,""Duotrav cy"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1074,""Cromosol cy"","""","""",""Autre"",""Comprime"",""19000"",""0"",""Non"",""3"""
